elapsed,dxl_pos[0],dxl_pos[1],dxl_pos[2],dxl_pos[3],dxl_pos[4]
0.0,2422.0,1639.0,2391.0,1396.0,2047.0
14.0,2444.0,1665.0,2391.0,1396.0,2047.0
28.0,2461.0,1686.0,2391.0,1396.0,2047.0
42.0,2474.0,1702.0,2391.0,1396.0,2047.0
56.0,2482.0,1710.0,2391.0,1396.0,2047.0
70.0,2483.0,1712.0,2391.0,1396.0,2047.0
84.0,2481.0,1711.0,2391.0,1396.0,2047.0
98.0,2479.0,1709.0,2391.0,1396.0,2047.0
112.0,2477.0,1705.0,2391.0,1396.0,2047.0
126.0,2476.0,1688.0,2391.0,1396.0,2047.0
140.0,2474.0,1673.0,2391.0,1396.0,2047.0
154.0,2468.0,1655.0,2391.0,1396.0,2047.0
168.0,2457.0,1632.0,2391.0,1396.0,2047.0
182.0,2445.0,1606.0,2391.0,1396.0,2047.0
196.0,2430.0,1577.0,2391.0,1396.0,2047.0
210.0,2412.0,1544.0,2391.0,1396.0,2047.0
224.0,2388.0,1508.0,2391.0,1396.0,2047.0
238.0,2359.0,1470.0,2391.0,1396.0,2047.0
252.0,2323.0,1432.0,2391.0,1396.0,2047.0
266.0,2285.0,1395.0,2391.0,1396.0,2047.0
280.0,2246.0,1357.0,2391.0,1396.0,2047.0
294.0,2208.0,1320.0,2391.0,1396.0,2047.0
308.0,2170.0,1284.0,2391.0,1396.0,2047.0
322.0,2132.0,1248.0,2391.0,1396.0,2047.0
336.0,2092.0,1214.0,2391.0,1396.0,2047.0
350.0,2051.0,1182.0,2391.0,1396.0,2047.0
364.0,2014.0,1150.0,2391.0,1396.0,2047.0
378.0,1975.0,1120.0,2391.0,1396.0,2047.0
392.0,1939.0,1092.0,2391.0,1396.0,2047.0
406.0,1905.0,1064.0,2391.0,1396.0,2047.0
420.0,1871.0,1038.0,2391.0,1396.0,2047.0
434.0,1838.0,1014.0,2391.0,1396.0,2047.0
448.0,1806.0,992.0,2391.0,1396.0,2047.0
462.0,1778.0,972.0,2391.0,1396.0,2047.0
476.0,1753.0,957.0,2391.0,1396.0,2047.0
490.0,1732.0,944.0,2391.0,1396.0,2047.0
504.0,1715.0,935.0,2391.0,1396.0,2047.0
518.0,1702.0,929.0,2391.0,1396.0,2047.0
532.0,1695.0,926.0,2391.0,1396.0,2047.0
546.0,1692.0,929.0,2391.0,1396.0,2047.0
560.0,1694.0,933.0,2391.0,1396.0,2047.0
574.0,1696.0,937.0,2391.0,1396.0,2047.0
588.0,1702.0,945.0,2391.0,1396.0,2047.0
602.0,1713.0,958.0,2391.0,1396.0,2047.0
616.0,1730.0,974.0,2391.0,1396.0,2047.0
630.0,1751.0,994.0,2391.0,1396.0,2047.0
644.0,1775.0,1017.0,2391.0,1396.0,2047.0
658.0,1803.0,1044.0,2391.0,1396.0,2047.0
672.0,1834.0,1074.0,2391.0,1396.0,2047.0
686.0,1867.0,1107.0,2391.0,1396.0,2047.0
700.0,1901.0,1140.0,2391.0,1396.0,2047.0
714.0,1937.0,1174.0,2391.0,1396.0,2047.0
728.0,1975.0,1208.0,2391.0,1396.0,2047.0
742.0,2015.0,1244.0,2391.0,1396.0,2047.0
756.0,2053.0,1281.0,2391.0,1396.0,2047.0
770.0,2091.0,1316.0,2391.0,1396.0,2047.0
784.0,2128.0,1352.0,2391.0,1396.0,2047.0
798.0,2163.0,1388.0,2391.0,1396.0,2047.0
812.0,2196.0,1421.0,2391.0,1396.0,2047.0
826.0,2227.0,1453.0,2391.0,1396.0,2047.0
840.0,2258.0,1484.0,2391.0,1396.0,2047.0
854.0,2287.0,1514.0,2391.0,1396.0,2047.0
868.0,2313.0,1541.0,2391.0,1396.0,2047.0
882.0,2336.0,1566.0,2391.0,1396.0,2047.0
896.0,2357.0,1586.0,2391.0,1396.0,2047.0
910.0,2372.0,1603.0,2391.0,1396.0,2047.0
924.0,2382.0,1615.0,2391.0,1396.0,2047.0
938.0,2388.0,1621.0,2391.0,1396.0,2047.0
952.0,2390.0,1623.0,2391.0,1396.0,2047.0
966.0,2390.0,1622.0,2391.0,1396.0,2047.0
980.0,2390.0,1623.0,2391.0,1396.0,2047.0
994.0,2390.0,1623.0,2391.0,1396.0,2047.0
1008.0,2390.0,1622.0,2391.0,1396.0,2047.0
